customer id,Credit history,Purpose,Credit amount,Installment rate ,guarantors,Other installment plans,Number of existing credits ,liable to provide maintenance 
AB-100151402,critical account,radio/television,1169,4,none,none,2,1
JR-162107,existing credits paid back duly till now,radio/television,5951,2,none,none,1,1
CR-127307,critical account,education,2096,2,none,none,1,2
KM-1637548,existing credits paid back duly till now,furniture/equipment,7882,2,guarantor,none,1,2
RH-9495111,delay in paying off in the past, New Car,4870,3,none,none,2,2
JM-156557,existing credits paid back duly till now,education,9055,2,none,none,1,2
TS-2134092,existing credits paid back duly till now,furniture/equipment,2835,3,none,none,1,1
MB-1808592,existing credits paid back duly till now,Used Car,6948,2,none,none,1,1
AB-100151404,existing credits paid back duly till now,radio/television,3059,2,none,none,1,1
AJ-107801,critical account, New Car,5234,4,none,none,2,1
MM-7260110,existing credits paid back duly till now, New Car,1295,3,none,none,1,1
VF-2171518,existing credits paid back duly till now,business,4308,3,none,none,1,1
PF-1912027,existing credits paid back duly till now,radio/television,1567,1,none,none,1,1
BP-1118545,critical account, New Car,1199,4,none,none,2,1
PJ-1883564,existing credits paid back duly till now, New Car,1403,2,none,none,1,1
JS-156857,existing credits paid back duly till now,radio/television,1282,4,none,none,1,1
RH-9555129,critical account,radio/television,2424,4,none,none,2,1
AB-600103,all credits paid back duly,business,8072,2,none,Bank,3,1
JK-1532527,existing credits paid back duly till now,Used Car,12579,4,none,none,1,1
LB-16795139,existing credits paid back duly till now,radio/television,3430,3,none,none,1,2
NP-1832582,critical account, New Car,2134,4,none,none,3,1
VD-2167039,existing credits paid back duly till now,radio/television,2647,2,none,none,1,2
PB-19210127,critical account, New Car,2241,1,none,none,2,2
EB-1411048,critical account,Used Car,1804,3,none,none,1,1
AH-100301406,critical account,furniture/equipment,2069,2,none,none,2,1
BP-1123058,existing credits paid back duly till now,furniture/equipment,1374,1,none,Bank,1,1
RR-1952536,all credits paid back duly,radio/television,426,4,none,none,1,1
BS-1136545,all credits at this bank paid back duly,radio/television,409,3,none,none,2,1
AH-100301404,existing credits paid back duly till now,radio/television,2415,3,guarantor,none,1,1
DP-131057,delay in paying off in the past,business,6836,3,none,none,2,1
AH-1003033,existing credits paid back duly till now,business,1913,3,none,Bank,1,1
PO-18865139,existing credits paid back duly till now,furniture/equipment,4020,2,none,stores,1,1
DL-128657,existing credits paid back duly till now, New Car,5866,2,none,none,2,1
JB-1600059,critical account,business,1264,4,none,none,1,1
BF-1100558,existing credits paid back duly till now,furniture/equipment,1474,4,none,Bank,1,1
VG-2180558,critical account,radio/television,4746,4,none,none,2,1
GT-14710139,critical account,education,6110,1,none,Bank,1,1
ZC-2191048,existing credits paid back duly till now,radio/television,2100,4,co-applicant,stores,1,1
AH-100301408,existing credits paid back duly till now,domestic appliances,1225,2,none,none,1,1
EB-1384045,existing credits paid back duly till now,radio/television,458,4,none,none,1,1
AP-1091527,existing credits paid back duly till now,radio/television,2333,4,none,Bank,1,1
SW-2027558,existing credits paid back duly till now,radio/television,1158,3,none,none,1,1
JH-15820141,delay in paying off in the past,repairs,6204,2,none,none,1,2
TG-1164060,critical account,Used Car,6187,1,none,none,2,1
DG-330087,critical account,Used Car,6143,4,none,stores,2,1
SG-2047058,critical account, New Car,1393,4,none,none,2,1
GP-1474058,existing credits paid back duly till now,radio/television,2299,4,none,none,1,1
MW-182207,existing credits paid back duly till now,Used Car,1352,1,none,none,1,1
CS-1246011,critical account, New Car,7228,1,none,none,2,1
MS-1798048,existing credits paid back duly till now,radio/television,2073,4,co-applicant,none,1,1
KC-1667548,delay in paying off in the past,furniture/equipment,2333,4,none,Bank,1,1
DB-1340527,delay in paying off in the past,Used Car,5965,1,none,none,2,1
AS-100451408,existing credits paid back duly till now,radio/television,1262,3,none,none,1,1
DK-13090120,existing credits paid back duly till now,Used Car,3378,2,none,none,1,1
CS-1184558,delay in paying off in the past, New Car,2225,4,none,Bank,2,1
EM-1420082,all credits at this bank paid back duly, New Car,783,1,guarantor,stores,1,2
DW-3480137,existing credits paid back duly till now,radio/television,6468,2,none,none,1,1
AS-1022527,critical account,radio/television,9566,2,none,stores,2,1
ST-2053093,existing credits paid back duly till now, New Car,1961,3,none,none,1,1
BW-106533,critical account,furniture/equipment,6229,4,co-applicant,none,2,1
LA-1678059,existing credits paid back duly till now,business,1391,2,none,Bank,1,1
AB-10150139,critical account,radio/television,1537,4,guarantor,none,2,1
JH-158207,all credits paid back duly,business,1953,4,none,none,1,1
AS-100451402,all credits paid back duly,business,14421,2,none,none,1,1
BE-1141048,existing credits paid back duly till now,radio/television,3181,4,none,none,1,1
SZ-2003527,existing credits paid back duly till now,repairs,5190,4,none,none,4,2
RM-1937558,existing credits paid back duly till now,radio/television,2171,2,none,Bank,1,1
HG-1484545,existing credits paid back duly till now, New Car,1007,4,none,none,1,1
DP-310586,existing credits paid back duly till now,education,1819,4,none,stores,1,1
AS-100451404,existing credits paid back duly till now,radio/television,2394,4,none,none,1,1
JB-1600048,existing credits paid back duly till now,Used Car,8133,1,none,Bank,1,1
AM-1070559,critical account,radio/television,730,4,none,none,2,1
AB-25586,critical account,Others,1164,3,none,Bank,2,2
RP-192707,critical account,business,5954,2,none,Bank,2,1
BK-1126011,existing credits paid back duly till now,education,1977,4,none,none,1,1
JM-1525027,critical account,Used Car,1526,4,none,none,2,1
NZ-1856545,existing credits paid back duly till now,radio/television,3965,4,none,none,1,1
SC-20695102,delay in paying off in the past,radio/television,4771,2,none,none,1,1
NC-186257,all credits paid back duly,Used Car,9436,2,none,none,1,2
NF-183858,existing credits paid back duly till now,furniture/equipment,3832,2,none,none,1,1
NZ-185657,existing credits paid back duly till now,radio/television,5943,1,none,none,2,1
PM-1894045,existing credits paid back duly till now,radio/television,1213,4,none,stores,1,1
MZ-1733545,existing credits paid back duly till now,business,1568,3,none,none,1,1
HM-498033,existing credits paid back duly till now,Others,1755,4,guarantor,none,1,1
RW-195407,existing credits paid back duly till now,radio/television,2315,3,none,none,1,1
LH-1715545,critical account,business,1412,4,guarantor,none,2,1
FH-1436582,critical account,furniture/equipment,1295,4,none,none,2,1
KM-1666048,existing credits paid back duly till now,education,12612,1,none,none,1,2
PO-1886545,existing credits paid back duly till now, New Car,2249,4,none,none,1,2
AS-100451406,all credits paid back duly,repairs,1108,4,none,none,2,1
AB-1006028,critical account,radio/television,618,4,none,none,1,1
DB-130607,critical account,Used Car,1409,4,none,none,1,1
VM-2168591,critical account,radio/television,797,4,none,Bank,1,2
DM-1352548,critical account,furniture/equipment,3617,4,co-applicant,none,2,1
NM-18520120,existing credits paid back duly till now, New Car,1318,4,none,none,1,1
LC-168857,all credits paid back duly,business,15945,3,none,none,1,1
RO-1978027,critical account,education,2012,4,none,none,1,1
EM-1406548,existing credits paid back duly till now,business,2622,4,none,none,1,1
ON-1871545,critical account,radio/television,2337,4,none,none,1,1
VS-2182027,delay in paying off in the past,Used Car,7057,3,none,Bank,2,2
CM-121157,existing credits paid back duly till now, New Car,1469,4,none,none,1,1
AB-100601404,existing credits paid back duly till now,radio/television,2323,4,none,none,1,1
AB-100601406,delay in paying off in the past,radio/television,932,3,none,none,1,1
JK-153257,critical account,furniture/equipment,1919,4,none,none,1,1
RP-1927045,existing credits paid back duly till now,Used Car,2445,2,none,none,1,1
DW-1354078,critical account,Others,11938,2,co-applicant,none,2,2
AB-100601408,all credits at this bank paid back duly, New Car,6458,2,none,Bank,2,2
GM-1444037,existing credits paid back duly till now, New Car,6078,2,none,none,1,1
SV-2081558,existing credits paid back duly till now,furniture/equipment,7721,1,none,none,1,1
MM-1792027,existing credits paid back duly till now,business,1410,1,none,none,1,1
JK-1612059,delay in paying off in the past,business,1449,1,none,Bank,2,2
EM-14200130,existing credits paid back duly till now,education,392,4,none,none,1,1
AB-100601402,existing credits paid back duly till now, New Car,6260,3,none,none,1,1
PM-1894059,critical account, New Car,7855,4,none,stores,2,1
AT-1043582,existing credits paid back duly till now,radio/television,1680,3,none,none,1,1
AB-1001527,critical account,radio/television,3578,4,none,none,1,1
PV-1898518,existing credits paid back duly till now,radio/television,7174,4,none,none,1,1
SB-2029064,critical account,furniture/equipment,2132,2,co-applicant,none,2,1
SM-10005116,critical account,furniture/equipment,4281,1,none,none,2,1
KH-1633059,critical account, New Car,2366,3,none,none,1,1
MP-181757,existing credits paid back duly till now,radio/television,1835,3,none,none,2,1
LH-1702027,critical account,Used Car,3868,4,none,none,2,1
CR-126257,existing credits paid back duly till now,furniture/equipment,1768,3,none,none,1,1
NC-1862511,critical account, New Car,781,4,none,none,2,1
GM-1468091,existing credits paid back duly till now,furniture/equipment,1924,4,none,none,1,1
RA-1994545,critical account, New Car,2121,4,none,none,2,1
DB-1306048,existing credits paid back duly till now,radio/television,701,4,none,none,1,1
RF-197357,existing credits paid back duly till now,repairs,639,4,none,none,1,1
JH-1582048,critical account,Used Car,1860,4,none,none,2,1
DM-1295551,critical account, New Car,3499,3,co-applicant,none,2,1
BE-1133582,existing credits paid back duly till now, New Car,8487,1,none,none,1,1
SO-2033527,delay in paying off in the past,education,6887,4,none,stores,1,1
DK-12835120,existing credits paid back duly till now,furniture/equipment,2708,2,none,Bank,2,1
LC-7050110,existing credits paid back duly till now,furniture/equipment,1984,4,none,Bank,2,1
CG-125207,existing credits paid back duly till now,radio/television,10144,2,none,none,1,1
HG-1502559,critical account,radio/television,1240,4,none,none,2,1
AD-1018059,delay in paying off in the past,Used Car,8613,2,none,none,2,1
BP-11155139,existing credits paid back duly till now,radio/television,766,4,none,none,1,1
AA-10480130,critical account,radio/television,2728,4,guarantor,Bank,3,1
RL-196157,existing credits paid back duly till now,radio/television,1881,2,none,none,1,1
SW-2024559,existing credits paid back duly till now, New Car,709,2,none,none,1,1
BW-1111027,existing credits paid back duly till now,radio/television,4795,4,none,none,1,1
YC-21895139,existing credits paid back duly till now,radio/television,3416,3,none,none,1,1
JM-1558082,existing credits paid back duly till now,furniture/equipment,2462,2,none,none,1,1
MZ-733513,critical account,furniture/equipment,2288,4,none,none,1,1
JF-15295120,all credits at this bank paid back duly,business,3566,4,none,none,1,1
DJ-3510137,critical account, New Car,860,1,none,none,2,1
MF-1825045,critical account, New Car,682,4,none,none,2,1
TC-2129545,critical account,furniture/equipment,5371,3,guarantor,none,2,1
